PZN,Name,Norm,Amount,Darreichung
00000655,Amoxicillin Rat 750mg Fta,N3,30 ST,FTA
00001353,Endofalk Tropic Btl,N1,8 ST,PLE
00002312,Antistax Extra Venentabl,,30 ST,FTA
00002335,Antistax Extra Venentabl,,60 ST,FTA
00002513,Tracleer 32mg Tabl,N2,56 ST,TSE
00002648,Ome TAD 20mg Bei Sodbrenn,,7 ST,HKM
00002654,Ome TAD 20mg Bei Sodbrenn,,14 ST,HKM
00003004,Synacthene 0.25mg-Aca ,N1,1 ML,ILO
00003010,Synacthene 0.25mg-Aca ,N2,10X1 ML,ILO
00003027,Nexavar 200mg-Cc-Pharma ,N3,112 ST,FTA
00003033,Erbitux 5mg/ml Infusionslo-Cc-Pharma ,N1,20 ML,INF
00003056,Stalevo 100/25/200mg-Cc-Pharma ,N2,100 ST,FTA
00003180,Endofalk Tropic Btl,,72 ST,PLE
00003197,Endofalk Tropic Btl,,8X72 ST,PLE
00003381,Endofalk Tropic Btl,,16X72 ST,PLE
00003412,Evista-Pharma ,N3,84 ST,FTA
00003435,Vagisan Milchsaeure Vagi,,7 ST,VSU
00003441,Vagisan Milchsaeure Vagi,,14 ST,VSU
00003458,Insuman Rapid 100IE/ml-kohlpharma ,N2,10X3 ML,ZAM
00003524,Endofalk Tropic Btl,,32X72 ST,PLE
00003530,Endofalk Classic Btl,N1,8 ST,PLE
00003607,Fempress Plus 15mg/25mg,N3,100 ST,FTA
00003659,Prograf 1mg-Eurimpharm ,N2,50 ST,HKP
00003665,Prograf 1mg-Eurimpharm ,N3,100 ST,HKP
00003889,Endofalk Classic Btl,,72 ST,PLE
00005291,Clindasol 600mg Filmtabl,N1,12 ST,FTA
00005316,Ethanol Mek Denaturat 70%,,1 L,FLU
00005925,Omeprazol - CT 20mg Hartka,N2,60 ST,KMR
00006126,Hydrea-Axicorp ,N3,100 ST,HKP
00006161,Divalol Galletropfen,,20 ML,TRO
00006267,Ribofluor 50mg/ml,N1,10000 MG,ILO
00006296,Atarax 25mg-Beragena ,N1,20 ST,FTA
00006304,Atarax 25mg-Beragena ,N2,50 ST,FTA
00006468,Atarax 25mg-Beragena ,N3,100 ST,FTA
00006669,Meto-Succinat SANDOZ 23.75,N3,100 ST,RET
00006936,Meto-Succinat Sandoz47.5mg,N3,100 ST,RET
00006965,Meto-Succinat SANDOZ 95mg,N3,100 ST,RET
00007255,Meto-Succinat SANDOZ 190mg,N3,100 ST,RET
00007350,Itraconazol AL 100mg Hart,N2,14 ST,HKP
